fid,left,top,right,bottom,plot_id,xcoord,ycoord,Number_Burrows,Area_Surveyed,Radius,NN_Elevation,NN_slope,NN_aspect,NN_NDVI,NN_SAVI,Bi_Elevation,Bi_slope,Bi_aspect,Bi_NDVI,Bi_SAVI,col,cor_Radius,WeightedBuff_Elevation,WeightedBuff_slope,WeightedBuff_NDVI,WeightedBuff_SAVI,geometry
809,-700066.4662,7756797.241,-699966.4662,7756697.241,P_809,-700016.4662,7756747.241,113,314,10,683.4560115306733,35.782510133838166,108.47841656597106,0.5969387717833721,656.8653564494834,688.6024533201221,30.464440277162087,107.40421769301466,0.5888256344056639,690.2511887731334,2,8.112423428926022,687.9813562072957,31.178187577779156,0.5888558769127583,685.3159215837871,"c(664774.596569467, 6318819.84143443)"
820,-700066.4662,7755697.241,-699966.4662,7755597.241,P_820,-700016.4662,7755647.241,129,314,10,544.5645114072122,33.33023565875644,53.678410297963644,0.649320089829764,631.6322896886053,543.6926365425634,33.45832673210931,54.13754666061503,0.6428845575785369,641.712860817058,2,8.355175191862363,544.5380126468663,33.34153207456884,0.6493529739779595,631.5049969902824,"c(664798.389194893, 6318220.72635589)"
824,-700066.4662,7755297.241,-699966.4662,7755197.241,P_824,-700016.4662,7755247.241,65,314,10,602.6304474162115,34.05592542029902,48.91301443512973,0.4113718995776486,756.1956707593786,606.6850461656819,34.26360116511622,48.585703499032185,0.41801728345193845,772.748096740117,2,8.284913591840601,606.6171469294035,34.26304144161334,0.4178344015830008,772.3734654022862,"c(664807.041547439, 6318002.84494652)"
828,-700066.4662,7754897.241,-699966.4662,7754797.241,P_828,-700016.4662,7754847.241,102,314,10,647.9690072070658,41.36372179330774,115.20654004669099,0.5232510121931584,740.8021077372479,646.7352394080017,41.19687408753779,115.33018842000207,0.5241845040761988,737.4107458012234,2,7.50529644819681,647.9690072070658,41.36372179330774,0.5232510121931584,740.8021077372479,"c(664815.694160611, 6317784.95213353)"
829,-700066.4662,7754797.241,-699966.4662,7754697.241,P_829,-700016.4662,7754747.241,65,314,10,623.992363699869,34.644373515200684,111.07317210957488,0.5079703715206396,613.2991292741452,624.3067292038872,34.80007428511707,112.04643289416963,0.5123985461975251,625.6258878780272,2,8.226963472174967,623.0464452635647,34.11590379338952,0.5108327896244874,614.4677184226261,"c(664817.857354624, 6317730.47714843)"
830,-700066.4662,7754697.241,-699966.4662,7754597.241,P_830,-700016.4662,7754647.241,124,314,10,614.2995548568006,27.761424780809776,109.35333168330388,0.44331819482601087,582.2623658663522,613.9198327527979,28.15864084167022,108.39057168072608,0.4753668483464541,589.0081452381871,2,8.848947763152841,613.7715011992117,28.09315725338825,0.4695721597306254,587.5539202889283,"c(664820.020564924, 6317676.00145057)"
831,-700066.4662,7754597.241,-699966.4662,7754497.241,P_831,-700016.4662,7754547.241,68,314,10,608.9241153343875,27.73417451550439,111.43460116854723,0.554301642889314,655.3034881684488,603.1456105261336,28.03089189624743,112.57612530005632,0.5503187154924883,652.5968591695469,2,8.851162096048927,604.5179537312591,27.85312944131006,0.5373904363923131,654.5403640634281,"c(664822.183791511, 6317621.52503995)"
832,-700066.4662,7754497.241,-699966.4662,7754397.241,P_832,-700016.4662,7754447.241,76,314,10,586.6186460826009,25.673082142868143,110.6338779801457,0.6391605881603125,680.3063315644333,589.9532090982764,26.38122266232937,111.37032572562865,0.6443623914131804,674.1694496960804,2,9.012806571810508,590.3061160097257,26.71243470976374,0.6477325790436759,671.965004707226,"c(664824.347034384, 6317567.04791657)"
843,-699966.4662,7757697.241,-699866.4662,7757597.241,P_843,-699916.4662,7757647.241,31,314,10,472.57498717922175,23.29678485083884,13.91104840804421,0.5277522920084031,795.8443660566019,468.2917770808434,23.058841948431105,10.309589152919148,0.5228957814715112,798.4769077220649,2,9.184685759087047,470.09722770695515,23.311336932754624,0.5229538192756219,792.7563317251462,"c(664809.694941859, 6319312.12977533)"
846,-699966.4662,7757397.241,-699866.4662,7757297.241,P_846,-699916.4662,7757347.241,52,314,10,529.8511756166818,20.928292157970937,16.910350968323794,0.604988673815059,898.8941314596708,528.8407385024404,20.415975320960996,15.977723715557785,0.5890596727126248,916.6722410237201,2,9.340282063110335,529.6982040266188,20.78317490094028,0.600887489697402,904.3172281299553,"c(664816.185354864, 6319148.76259638)"
